title,year,definition_number,definition,convexity,asymmetry,protective_rore,iterative_learning,adaptive_restructuring,growth_through_disorder,rore_extended,adaptability_framed
"Antifragile, sustainable and agile healthcare waste chain network design by considering blockchain, resiliency, robustness and risk",2025,,"While resiliency and robustness emphasize maintaining the status quo and only show flexibility in reaction to disturbances without actively seeking improvement, antifragility emphasizes improvement and learning from disruptions.",0,0,1,0,0,1,1,0
"Synergistic Closedâ€Loop Supply Chain Network Design by Considering Robustness, Risk: An Automotive Case Study",2025,,Antifragility is achieved by designing the system to benefit from disruptions,0,0,1,0,0,1,0,0
The implications of Industry 4.0 for managing supply chain disruption and enhancing supply chain resilience: a systematic literature review,2025,1.0,“Supply chain antifragility has emerged as a way of not only managing disruptions but also leveraging them as opportunities for growth.”,0,0,0,0,0,1,0,0
The implications of Industry 4.0 for managing supply chain disruption and enhancing supply chain resilience: a systematic literature review,2025,2.0,“Antifragile supply chains not only withstand volatility and shocks but also thrive and improve from such disturbances.”,0,0,0,0,0,0,0,0
The implications of Industry 4.0 for managing supply chain disruption and enhancing supply chain resilience: a systematic literature review,2025,3.0,"“Unlike robustness and resilience, which aim to withstand or return to a pre-shock state, antifragility suggests a capacity for evolutionary improvement in the face of adversity.”",0,0,1,0,0,1,1,0
Crisis Response Modes in Collaborative Business Ecosystems: A Mathematical Framework from Plasticity to Antifragility,2025,,“Antifragility has been conceptually defined in terms of convex responses and asymmetric gains under stress.”,0,1,0,0,0,0,1,0
Antifragility and organizations: an organizational design perspective,2025,,"Antifragility refers to a system’s ability to benefit from disruptions and volatility—managing disturbances not only by enduring stress but by learning, adapting, and profiting from it.",0,0,1,0,0,1,1,0
Antifragility model development for businesses in the cosmetics industry,2025,,"“The concept of antifragility, introduced by Taleb (2012), offers a strategic alternative by proposing that businesses can improve and expand when exposed to volatility.”",0,0,0,0,0,1,0,0
Building an antifragile supply chain: A capability blueprint for resilience and postâ€disruption growth,2024,1.0,"“Antifragility … is focused specifically on growth. It posits that a system can strengthen and grow through exposure to volatility and shocks, analogous to muscle growth through exercise.”",0,0,0,0,0,1,0,0
Building an antifragile supply chain: A capability blueprint for resilience and postâ€disruption growth,2024,2.0,“An antifragile supply chain is one that derives gains—both financial and non-financial—from disruption.”,0,0,0,0,0,1,0,0
Transport collaboration network among competitors to improve supply chain antifragility,2024,,"Antifragility emphasizes the capacity of business ecosystems to become more resilient in the face of VUCA events, fostering adaptability, flexibility, and learning from disruptions within the supply chain.",0,0,0,0,0,0,0,0
Evaluation of Critical Success Factors for Antifragile Supply Chains Using Delphi and Fuzzy QFD Methods,2024,1.0,"“Antifragility characterizes systems that benefit from volatility and chaos, demonstrating enhanced performance when exposed to significant and seemingly unlikely variations in parameters.”",0,1,0,0,0,1,0,0
Evaluation of Critical Success Factors for Antifragile Supply Chains Using Delphi and Fuzzy QFD Methods,2024,2.0,"“While antifragility includes the aspect of robustness, which entails recovering from shocks, it goes further by striving to achieve an even higher level of performance subsequent to such shocks.”",0,1,1,0,0,1,0,0
Evaluation of Critical Success Factors for Antifragile Supply Chains Using Delphi and Fuzzy QFD Methods,2024,3.0,"“This emerging concept aims to endure extreme events … fostering learning, adaptation, and the exploitation of opportunities to enhance performance and foster growth.”",0,0,0,1,0,0,1,0
Introducing Antifragility Analysis Algorithm for Assessing Digitalization Strategies of the Agricultural Economy in the Small Farming Section,2024,1.0,"“Antifragility refers to when a system benefits from the variability of its environment, and fragility refers to when it suffers.”",0,0,0,0,0,0,0,0
Introducing Antifragility Analysis Algorithm for Assessing Digitalization Strategies of the Agricultural Economy in the Small Farming Section,2024,2.0,“The ability to deal with uncertainty completely and internally consistently is an essential characteristic of antifragility.”,0,0,0,0,0,1,0,0
Betting on the future: how to build antifragility in innovative start-up companies,2024,1.0,"“Antifragility implies the tendency of an organization to improve its own competitive position in the face of a crisis, while resilience does not.”",0,0,1,0,0,0,1,0
Betting on the future: how to build antifragility in innovative start-up companies,2024,2.0,“An antifragile firm benefits from disorder.”,0,0,0,0,0,1,0,0
Navigating Uncertainties in the Built Environment: Reevaluating Antifragile Planning in the Anthropocene through a Posthumanist Lens,2024,,"“Taleb’s theory of antifragility describes a system’s ability to withstand stress and change caused by capital, large-scale, and massive events, that are largely unpredictable; nonetheless, at the core of antifragility is the idea of thriving and improving in response to various kinds of shocks.”",0,0,0,0,0,1,1,0
THE EFFECT OF DIGITAL GOVERNANCE TO STIMULATE THE ANTIFRAGILE CAPABILITIES OF PUBLIC SECTOR ORGANIZATIONS,2024,1.0,"“Taleb… suggested establishing a robust yet transformative and emergent environment, which equips the system with the knowledge and capacity to deal with and capitalize on uncertainty.”",0,0,0,1,1,1,0,0
THE EFFECT OF DIGITAL GOVERNANCE TO STIMULATE THE ANTIFRAGILE CAPABILITIES OF PUBLIC SECTOR ORGANIZATIONS,2024,2.0,“Antifragile organizations are better prepared to respond to crises and emerge more robust… transforming [risks] into opportunities.”,0,0,1,0,0,1,0,0
"From Industry 4.0 Digital Manufacturing to Industry 5.0 Digital Society: a Roadmap Toward Human-Centric, Sustainable, and Resilient Production",2024,,No definition,0,0,0,0,0,0,0,0
"Significant Leap In The Industrial Revolution From Industry 4.0 To Industry 5.0: Needs, Problems, And Driving Forces",2024,,"“Antifragility, a critical characteristic of systems that thrive under stress, shocks, errors, and failures, will play a pivotal role in ensuring adaptability and robustness in the face of global challenges, such as climate change and biodiversity issues.”",0,0,1,0,0,0,1,0
Data-driven digital transformation and the implications for antifragility in the humanitarian supply chain,2023,,“Antifragility goes beyond resilience by proposing that systems have the potential to not just survive but also flourish and gain advantages from these very disruptions.”,0,0,1,0,0,1,1,0
"Antifragile, sustainable, and agile supply chain network design by considering resiliency, robustness, risk, and environmental requirements",2023,1.0,"“Antifragility is a new concept that designers of SCND increase the capability of facilities to cope with types of disruptions like stressors, fluctuations, volatility, and shocks.” 2. “The resilient policy is flexible against shocks and back to normal mode, but the antifragility concept utilizes disruptions and moves to improvement.”",0,0,0,0,0,1,0,0
BUILDING SUPPLY CHAIN RESILIENCE AND ANTIFRAGILITY: STRATEGIES AND TECHNOLOGIES FOR MITIGATING DISRUPTIONS,2023,,“Supply chains that are resilient and antifragile—capable of surviving and thriving amid disruptions.”,0,0,1,0,0,1,0,0
"Correction to: Antifragile, sustainable, and agile supply chain network design by considering resiliency, robustness, risk, and environmental requirements",2023,,“The antifragility concept utilizes disruptions and moves to improvement.”,0,0,0,0,0,1,0,0
Thrive during a crisis: the role of digital technologies in fostering antifragility in small and medium-sized enterprises,2023,,"“Antifragility, instead, represents the capability of a system to absorb shocks and get better.”",0,1,0,0,0,0,0,0
An operationalization of antifragility in inventory management,2023,,"Antifragility refers to a system’s capacity to increase performance when exposed to increasing uncertainty, representing a continuous or bounded function in which gains rise with volatility.",0,1,0,0,0,0,0,0
Stocks and cryptocurrencies: Antifragile or robust? A novel antifragility measure of the stock and cryptocurrency markets,2023,,"“A system is antifragile when it benefits from noise or disorder. Thus, noise acts as a constructive element that allows the system to perform a function successfully. Therefore, one expects to encounter antifragility in a complex dynamical system that is nonlinear, has many degrees of freedom and is out of equilibrium.”",0,0,0,0,0,0,0,0
Beyond resilience: towards antifragility?,2023,,"“Antifragility is positioned as a progression from robustness and resilience, with a positive end-point. Where robustness ends in failure, and resilience restores the status quo (plus/minus some possible lasting impacts on performance), antifragility theoretically would result in permanent positive improvement and enhanced performance.”",0,1,1,0,0,0,1,0
Health Service Implementation and Antifragile Characteristics in Rural Communities: A Dirt Research Approach,2023,,"“When programs or units are antifragile, they stand to gain from inevitable volatility rather than be harmed by it.”",0,0,0,0,0,0,0,0
"Analyzing antifragility among smallholder farmers in Bihar, India: An assessment of farmersâ€™ vulnerability and the strengths of positive deviants",2023,,"“A system is antifragile when it gains from disturbances (Taleb, 2012). The average performance of an antifragile system increases as perturbations trigger selection and removal of underperforming system features, while the strongest features survive.”",0,1,0,0,0,0,0,0
Investigating the interaction of factors for implementing additive manufacturing to build an antifragile supply chain: TISM-MICMAC approach,2022,,"“While a resilient supply chain aims at absorbing shocks, an antifragile supply chain sees these shocks as an opportunity to get stronger and better. An antifragile supply chain does not only respond to disruption but also thrives in it (Taleb, 2012).”",0,0,0,0,0,0,0,0
Provide a Lean and Agile Strategy for an Antifragile Sustainable Supply Chain in the Construction Industry(residential complex),2022,,No definition,0,0,0,0,0,0,0,0
"Resilience, robustness, and antifragility: Towards an appreciation of distinct organizational responses to adversity",2022,,"“Organizations can experience three distinct outcomes after facing adversity: (1) performance degradation followed by recovery (i.e., resilience), (2) insensitivity to uncertainty (i.e., robustness), and (3) upside gain (i.e., antifragility).”",0,1,1,0,0,1,1,0
Enhancing Antifragile Performance of Manufacturing Systems through Predictive Maintenance,2022,,"“Antifragility is the feature of a system that increases in resilience or robustness as a result of the harmful effects of stressful actions: malfunctions, shocks, errors, noise, mistakes, disturbances, attacks, faults, or failures. In other words, some systems (natural or artificial) can improve their performance and become better when subjected to various forms of stress.”",0,0,1,0,0,0,1,0
Exaptive innovation in constraint-based environments: lessons from COVID-19 crisis,2022,,No definition,0,0,0,0,0,0,0,0
Gaining from disorder: Making the case for antifragility in purchasing and supply chain management,2021,,"“Unlike robust or resilient supply chains, the antifragile supply chain ‘loves’ disorder and thrives in the world of randomness. In other words, robust and resilient supply chains are placed on a continuum from the fragile to antifragile supply chain.”",0,0,1,0,0,1,0,0
Empowering Organisations to Gain From Uncertainty: a Conceptualisation of Antifragility Through Leveraging Organisational Routines in Uncertain Environments,2021,,“The concept of gaining from uncertainty referred to as antifragility.”,0,0,0,0,0,1,0,0
Designing antifragile social-technical information systems in an era of big data,2021,,"Antifragility refers to the design of information systems that leverage uncertainty for gains, shifting design philosophy from preserving function to expanding functionality and performance across a range of uncertain conditions.",0,0,0,0,0,0,0,0
Antifragile philosophy in R&D projects: Applying Q methodology and the possibility of open innovation,2021,,"“The concept of antifragile was created by Nicholas Nasim Taleb in 2012. It is a neologism that Taleb uses to define the opposite to ‘fragile’… the opposite is what not only does not deteriorate, break down and/or collapse but also improves.”",0,0,0,0,0,0,0,0
A managerial operationalization of antifragility and its consequences in supply chains,2020,,"“Antifragility refers to systems that gain from volatility and disorder and show an improvement in performance when subjected to large and seemingly implausible changes in parameters. Antifragility encompasses robustness as it means the ability to recover after a shock, however, with the addition to achieve an even higher performance level afterwards.”",0,1,1,0,0,0,0,0
Approaches for resilience and antifragility in collaborative business ecosystems,2020,1.0,"“Antifragility – when systems absorb shocks and get better afterward.” (Taleb, 2012; Hespanhol, 2017)",0,1,1,0,0,1,0,0
Approaches for resilience and antifragility in collaborative business ecosystems,2020,2.0,"“Taleb called it antifragile and introduced the concept of antifragility as a property beyond robustness and resilience.” (Russo & Ciancarini, 2017)",0,0,1,0,0,0,0,0
Approaches for resilience and antifragility in collaborative business ecosystems,2020,3.0,"“According to Taleb (2012), the idea behind antifragility is to survive (even thrive) in the age of complexity and volatility when dealing with unknown randomness and disruptions.” (Taleb, 2012; Russo & Ciancarini, 2017; Hespanhol, 2017)",0,0,0,0,0,0,0,0
Approaches for resilience and antifragility in collaborative business ecosystems,2020,4.0,"“Antifragility and fragility are degrees on a spectrum, and we can almost always detect antifragility (and fragility) using a simple test of asymmetry: anything that has more upside than downside (convex) from random events (or certain shocks) is antifragile. Anything that acts reversely is fragile.” (Russo & Ciancarini, 2017)",0,1,0,0,0,0,0,0
Approaches for resilience and antifragility in collaborative business ecosystems,2020,5.0,"“While a robust or resilient system resists failure and remains the same or recovers from failure, an antifragile system benefits from shocks, getting better.” (Lichtman et al., 2016; Hespanhol, 2017)",0,1,1,0,0,0,1,0
On the meaning and operationalization of antifragility: Comment on the paper by GroÎ²ler,2020,,“Antifragility refers to systems which gain from volatility and disorder and show an improvement in performance when subjected to large and seemingly implausible changes in parameters.”,0,1,0,0,0,0,0,0
Antifragility Predicts the Robustness and Evolvability of Biological Networks through Multi-Class Classification with a Convolutional Neural Network,2020,,“Antifragility can be defined as the ability of a system to improve its functionality in the presence of external perturbations.”,0,0,0,0,0,0,0,0
Black-Swan Type Catastrophes and Antifragility/Supra-resilience of Urban Socio-Technical Infrastructures,2020,1.0,“Antifragility … demonstrates itself as the ability of a system to become stronger (up to an unknown point) after experiencing a stressor.”,0,0,1,0,0,1,1,0
Black-Swan Type Catastrophes and Antifragility/Supra-resilience of Urban Socio-Technical Infrastructures,2020,2.0,“Antifragility is principally more than resilience or robustness.”,0,0,1,0,0,1,1,0
A Philosophy of Security Architecture Design,2020,,"“There may exist vulnerabilities and there may be exposure, but steps will be taken to mitigate weaknesses. Upon experiencing adversities, a host of measures will be taken to strengthen the system. One will learn from the incident, and improve on the system in as many ways as are practical.”",0,0,1,0,0,1,0,0
Supraresilience of bio-socio-technical infrastructures,2020,,“Antifragility … did not exist as a notion before Nicholas Taleb introduced it in 2012 as an antonym to fragility and demonstrates itself as the ability of a system to become stronger (up to an unknown point) after experiencing a stressor.”,0,0,0,0,0,0,0,0
Designing decentralized knowledge management systems to effectuate individual and collective generative capacities,2020,,“The term ‘Antifragility’ defines the property or capacity of systems (beyond robustness and resilience) to potentially benefit or even thrive when exposed to these change or disorder effects.”,0,0,1,0,0,0,1,0
PANDEMIC PLANNING AND RESPONSE AND THE CASE FOR ANTI-FRAGILITY,2020,,No definition,0,0,0,0,0,0,0,0
A collaborative approach to resilient and antifragile business ecosystems,2019,,No definition,0,0,0,0,0,0,0,0
"Fragile, Robust and Antifragile Services",2018,,"“Antifragility is a property of systems that increase in capability as a result of stressors, shocks, volatility, noise, mistakes, faults, attacks, or failures. According to N.N. Taleb (2013): ‘Antifragility is beyond resilience or robustness. The resilient resists shocks and stays the same; the antifragile gets better.’”",0,0,1,0,0,0,1,0
Emergence of Antifragility by Optimum Postdisruption Restoration Planning of Infrastructure Networks,2017,,"“A system is antifragile if its performance improves as the result of exposure to stressors, shocks, or disruptions.”",0,1,1,0,0,1,1,0
Storytelling as a strategy in managing complex systems: using antifragility for handling an uncertain future in reliability,2017,,"“Antifragility refers to when [a system] benefits from this variability.” (Taleb, 2012; Taleb & Douady, 2013)",0,0,0,0,0,0,0,0
"A Right-Brained Approach to Critical Infrastructure Protection Theory in support of Strategy and Education: Deterrence, Networks, Resilience, and â€œAntifragilityâ€",2017,,"“‘Antifragility’ essentially describes systems that actually benefit from disorder, rather than suffer.”",0,0,0,0,0,1,0,0
Corporate real estate black swan strategies: Beyond probability and resilience,2016,1.0,"“Antifragility… regenerates itself continuously by using, rather than suffering from, random events, unpredictable shocks, and volatility.”",0,0,0,0,0,0,0,0
Corporate real estate black swan strategies: Beyond probability and resilience,2016,2.0,“The resilient resists Black Swans and remains the same but the antifragile knowledge gets better and better.”,0,0,1,0,0,0,1,0
Corporate real estate black swan strategies: Beyond probability and resilience,2016,3.0,"“Antifragility is defined as a convex response to a source of harm and so can lead to a positive response to an increase in volatility, as opposed to fragility which suffers from the variability of its environment beyond a certain pre-set threshold.”",0,0,0,0,0,0,0,0
Building antifragility in service organisations: going beyond resilience,2014,1.0,"The implications of antifragility go beyond resilience or robustness. A resilient system resists stress and remains the same; while an antifragile system improves.” (Jaaron & Backhouse, 2014; citing Taleb, 2012)",0,0,1,0,0,1,1,0
Building antifragility in service organisations: going beyond resilience,2014,2.0,"“To maintain organisational growth in a turbulent environment, organisations must build highly effective learning systems to innovate and develop from threats and stressors. This has been termed by Taleb (2012s) as ‘antifragility.’” the capacity to learn from stressors in order to flourish.”",0,0,0,1,0,0,0,0
